name,name_for_emails,phone,website,address,street,city,postal_code,latitude,longitude,time_zone,working_hours,working_hours_csv_compatible,verified,owner_id,owner_title,owner_link,cid,kgmid
တင်ထွန်းအောင်စက်သုံးဆီအရောင်းဆိုင်,တင်ထွန်းအောင်စက်သုံးဆီအရောင်းဆိုင်,+95 9 40168 0388,,"62G9+3GQ, Magway",62G9+3GQ,Magway,,20.2252100,95.01884600000000,Asia/Rangoon,"{""Monday"": [""Open 24 hours""], ""Tuesday"": [""Open 24 hours""], ""Wednesday"": [""Open 24 hours""], ""Thursday"": [""Open 24 hours""], ""Friday"": [""Open 24 hours""], ""Saturday"": [""Open 24 hours""], ""Sunday"": [""Open 24 hours""]}",,False,None,တင်ထွန်းအောင်စက်သုံးဆီအရောင်းဆိုင်,,7.3082133247888512e+17,/g/11j2ls_4rc
Kay Thi Oo Petrol (2),Kay Thi Oo Petrol 2,+95 9 40255 9591,,"H4RR+34H, Kyaukse",H4RR+34H,Kyaukse,,21.5901970,96.14037200000000,Asia/Rangoon,"{""Monday"": [""Open 24 hours""], ""Tuesday"": [""Open 24 hours""], ""Wednesday"": [""Open 24 hours""], ""Thursday"": [""Open 24 hours""], ""Friday"": [""Open 24 hours""], ""Saturday"": [""Open 24 hours""], ""Sunday"": [""Open 24 hours""]}",,False,None,Kay Thi Oo Petrol,,1.2523049834883164e+18,/g/11f0_gj1pq
Max Energy (Kyuakse),Max Energy Kyuakse,+95 9 891 755184,http://www.maxenergy.com.mm/,"H593+VX, Kyaukse",H593+VX,Kyaukse,,21.569665,96.15498800000000,Asia/Rangoon,"{""Monday"": [""4AM-10PM""], ""Tuesday"": [""4AM-10PM""], ""Wednesday"": [""4AM-10PM""], ""Thursday"": [""4AM-10PM""], ""Friday"": [""4AM-10PM""], ""Saturday"": [""4AM-10PM""], ""Sunday"": [""4AM-10PM""]}","Sunday,4AM,10PM|Monday,4AM,10PM|Tuesday,4AM,10PM|Wednesday,4AM,10PM|Thursday,4AM,10PM|Friday,4AM,10PM|Saturday,4AM,10PM",False,None,Max Energy,,-9.2233720368547758e+18,/g/11vlbgvyr8
BOC (Kyaukse),Boc Kyaukse,+95 9 42881 4747,,"Q3QC+2V3, Kyaukse",Q3QC+2V3,Kyaukse,,21.787521000000002,96.0721760,Asia/Rangoon,,,False,None,BOC,,8.3565227550819881e+18,/g/11f669lx27
HWA Petrol Station 001(ဆီပန့်​),Hwa Petrol Station 001 ဆီပန့်​,+95 9 535 1966,,"Yangon-Mandalay Highway Road Kaytumati, Taungoo",Yangon-Mandalay Highway Road Kaytumati,Taungoo,,19.0580550,96.3639150,Asia/Rangoon,"{""Monday"": [""Open 24 hours""], ""Tuesday"": [""Open 24 hours""], ""Wednesday"": [""Open 24 hours""], ""Thursday"": [""Open 24 hours""], ""Friday"": [""Open 24 hours""], ""Saturday"": [""Open 24 hours""], ""Sunday"": [""Open 24 hours""]}",,True,-9.2233720368547758e+18,HWA Petrol Station 001(ဆီပန့်​),https://www.google.com/maps/contrib/108217961844223820231,-9.2233720368547758e+18,/g/11ggt0x9v8
Asia Energy,Asia Energy,+95 9 976 778359,,"W3VP+QRW, 78th St, Mandalay","W3VP+QRW, 78th St",Mandalay,,21.944486999999999,96.0870920,Asia/Rangoon,"{""Monday"": [""Open 24 hours""], ""Tuesday"": [""Open 24 hours""], ""Wednesday"": [""Open 24 hours""], ""Thursday"": [""Open 24 hours""], ""Friday"": [""Open 24 hours""], ""Saturday"": [""Open 24 hours""], ""Sunday"": [""Open 24 hours""]}",,False,None,Asia Energy,,2.9438849886029855e+18,/g/11c1s6l048
OK ENERGY - MANDALAY,Ok Energy Mandalay,+95 9 777 111209,,"V3CQ+HR, Mandalay",V3CQ+HR,Mandalay,,21.8714780,96.08959299999999,Asia/Rangoon,"{""Monday"": [""Open 24 hours""], ""Tuesday"": [""Open 24 hours""], ""Wednesday"": [""Open 24 hours""], ""Thursday"": [""Open 24 hours""], ""Friday"": [""Open 24 hours""], ""Saturday"": [""Open 24 hours""], ""Sunday"": [""Open 24 hours""]}",,False,None,OK ENERGY - MANDALAY,,-9.2233720368547758e+18,/g/11sppb8d79
Kyaw San Petrol Station,Kyaw San Petrol Station,+95 9 42262 6026,,"CMFJ+JWF, Mandalay Road, မြင်းခြံ","CMFJ+JWF, Mandalay Road",မြင်းခြံ,,21.4240540,95.6823030,Asia/Rangoon,"{""Monday"": [""Open 24 hours""], ""Tuesday"": [""Open 24 hours""], ""Wednesday"": [""Open 24 hours""], ""Thursday"": [""Open 24 hours""], ""Friday"": [""Open 24 hours""], ""Saturday"": [""Open 24 hours""], ""Sunday"": [""Open 24 hours""]}",,False,None,Kyaw San Petrol Station,,1.7176017911493059e+18,/g/11c6v91jh2
"DENKO, Kyaukme_01 _ _ SHN",Denko Kyaukme_01 _ _ Shn,+95 9 940 549285,http://www.denkomyanmar.com/,"Mandalay - Lashio Rd, ကျောက်မဲ",Mandalay - Lashio Rd,ကျောက်မဲ,,22.5086690,97.0250590,Asia/Rangoon,"{""Monday"": [""4AM-9PM""], ""Tuesday"": [""4AM-9PM""], ""Wednesday"": [""4AM-9PM""], ""Thursday"": [""4AM-9PM""], ""Friday"": [""4AM-9PM""], ""Saturday"": [""4AM-9PM""], ""Sunday"": [""4AM-9PM""]}","Sunday,4AM,9PM|Monday,4AM,9PM|Tuesday,4AM,9PM|Wednesday,4AM,9PM|Thursday,4AM,9PM|Friday,4AM,9PM|Saturday,4AM,9PM",True,-9.2233720368547758e+18,"DENKO, Kyaukme_01 _ _ SHN",https://www.google.com/maps/contrib/107641385673339040197,1.6250070078933724e+18,/g/11fxvmqp23
KYK Gas Station,Kyk Gas Station,+95 9 498 18999,,"8XMX+P2P, Boyagyi",8XMX+P2P,Boyagyi,,17.334327999999999,96.9975690,Asia/Rangoon,"{""Monday"": [""Open 24 hours""], ""Tuesday"": [""Open 24 hours""], ""Wednesday"": [""Open 24 hours""], ""Thursday"": [""Open 24 hours""], ""Friday"": [""Open 24 hours""], ""Saturday"": [""Open 24 hours""], ""Sunday"": [""Open 24 hours""]}",,False,None,KYK Gas Station,,2.6973051124301184e+18,/g/11g3wkx0s8
Kyaw San Petrol Station (005),Kyaw San Petrol Station 005,+95 9 42262 6005,,"XX4J+PXF, Muse",XX4J+PXF,Muse,,23.9568100,97.9824160,Asia/Rangoon,"{""Monday"": [""Open 24 hours""], ""Tuesday"": [""Open 24 hours""], ""Wednesday"": [""Open 24 hours""], ""Thursday"": [""Open 24 hours""], ""Friday"": [""Open 24 hours""], ""Saturday"": [""Open 24 hours""], ""Sunday"": [""Open 24 hours""]}",,False,None,Kyaw San Petrol Station,,8.1444730581541386e+18,/g/11c7086lwk
Lucky 7(008)Mandaly,Lucky 7 008 Mandaly,+95 9 40020 0890,,"V3FR+X9M, Mandalay",V3FR+X9M,Mandalay,,21.8750270,96.09094500000000,Asia/Rangoon,"{""Monday"": [""Open 24 hours""], ""Tuesday"": [""Open 24 hours""], ""Wednesday"": [""Open 24 hours""], ""Thursday"": [""Open 24 hours""], ""Friday"": [""Open 24 hours""], ""Saturday"": [""Open 24 hours""], ""Sunday"": [""Open 24 hours""]}",,True,-9.2233720368547758e+18,Lucky 7(008)Mandaly,https://www.google.com/maps/contrib/103000514267396747462,2.0700895459904612e+18,/g/11qb893gz4
Asia Energy (ပုသိမ်လေး),Asia Energy ပုသိမ်လေး,+95 9 42862 2271,http://www.asiaenergy.com.mm/,"Moegote High Way Road, Mandalay, Patheingyi 05071","Moegote High Way Road, Mandalay",Patheingyi,5071,22.0673600,96.1315750,Asia/Rangoon,"{""Monday"": [""Open 24 hours""], ""Tuesday"": [""Open 24 hours""], ""Wednesday"": [""Open 24 hours""], ""Thursday"": [""Open 24 hours""], ""Friday"": [""Open 24 hours""], ""Saturday"": [""Open 24 hours""], ""Sunday"": [""Open 24 hours""]}",,True,-9.2233720368547758e+18,Asia Energy,https://www.google.com/maps/contrib/116874165400642525969,-9.2233720368547758e+18,/g/11frqzfty3
Lin Let Wady Petrol Station,Lin Let Wady Petrol Station,+95 9 504 7090,,"Kyauk Phyu - Yangon Highway Road, NH13, Kyaukpyu","Kyauk Phyu - Yangon Highway Road, NH13",Kyaukpyu,,19.412198000000000,93.5026660,Asia/Rangoon,"{""Monday"": [""Open 24 hours""], ""Tuesday"": [""Open 24 hours""], ""Wednesday"": [""Open 24 hours""], ""Thursday"": [""Open 24 hours""], ""Friday"": [""Open 24 hours""], ""Saturday"": [""Open 24 hours""], ""Sunday"": [""Open 24 hours""]}",,True,-9.2233720368547758e+18,Lin Let Wady Petrol Station,https://www.google.com/maps/contrib/116754068120605303100,8.6025026222284954e+18,/g/11dy1hlzs_
ဓနထွန်း,ဓနထွန်း,+95 9 791 375227,,"Shwebo-Sagaing, Mandalay - Shwebo Rd, ဝက်လက်မြို့နယ်","Shwebo-Sagaing, Mandalay - Shwebo Rd",ဝက်လက်မြို့နယ်,,22.3427130,95.69359500000000,Asia/Rangoon,"{""Monday"": [""6:30AM-5:30PM""], ""Tuesday"": [""6:30AM-5:30PM""], ""Wednesday"": [""6:30AM-5:30PM""], ""Thursday"": [""6:30AM-5:30PM""], ""Friday"": [""6:30AM-5:30PM""], ""Saturday"": [""6:30AM-5:30PM""], ""Sunday"": [""6:30AM-5:30PM""]}","Sunday,6:30AM,5:30PM|Monday,6:30AM,5:30PM|Tuesday,6:30AM,5:30PM|Wednesday,6:30AM,5:30PM|Thursday,6:30AM,5:30PM|Friday,6:30AM,5:30PM|Saturday,6:30AM,5:30PM",True,-9.2233720368547758e+18,ဓနထွန်း,https://www.google.com/maps/contrib/100871732993733229542,-9.2233720368547758e+18,/g/11wjbh6_y6
ShweMoe GAS Station,Shwemoe Gas Station,+95 9 519 8852,,"9MW9+6X Hladaw, ShweBo",9MW9+6X Hladaw,ShweBo,,22.3955630,95.66993700000000,Asia/Rangoon,,,False,None,ShweMoe GAS Station,,-9.2233720368547758e+18,/g/11fr9zzjhf
Highway Star (Petrol Station),Highway Star Petrol Station,+95 9 40932 3366,,"Sigaing-ShweBo Highway, Sadaung 02372",Sigaing-ShweBo Highway,Sadaung,2372,22.1349530,95.7610140,Asia/Rangoon,"{""Monday"": [""Open 24 hours""], ""Tuesday"": [""Open 24 hours""], ""Wednesday"": [""Open 24 hours""], ""Thursday"": [""Open 24 hours""], ""Friday"": [""Open 24 hours""], ""Saturday"": [""Open 24 hours""], ""Sunday"": [""Open 24 hours""]}",,True,-9.2233720368547758e+18,Highway Star,https://www.google.com/maps/contrib/115874404335955649299,-9.2233720368547758e+18,/g/11xzrq0rrl
SBP,Sbp,+95 9 511 4033,https://www.sbpoil.com/,"W36X+33C, Lower Mingalardon Rd, Yangon","W36X+33C, Lower Mingalardon Rd",Yangon,,16.910197000000000,96.0976290,Asia/Rangoon,"{""Monday"": [""Open 24 hours""], ""Tuesday"": [""Open 24 hours""], ""Wednesday"": [""Open 24 hours""], ""Thursday"": [""Open 24 hours""], ""Friday"": [""Open 24 hours""], ""Saturday"": [""Open 24 hours""], ""Sunday"": [""Open 24 hours""]}",,False,None,SBP,,-9.2233720368547758e+18,/g/11g8jgk65d
တောင်ဇလပ်,တောင်ဇလပ်,+95 9 230 0121,,"83J8+H3F, Mindat - Pakokku Rd, Pakokku","83J8+H3F, Mindat - Pakokku Rd",Pakokku,,21.331427999999999,95.0651680,Asia/Rangoon,"{""Monday"": [""Open 24 hours""], ""Tuesday"": [""Open 24 hours""], ""Wednesday"": [""Open 24 hours""], ""Thursday"": [""Open 24 hours""], ""Friday"": [""Open 24 hours""], ""Saturday"": [""Open 24 hours""], ""Sunday"": [""Open 24 hours""]}",,False,None,တောင်ဇလပ်,,8.7731741372406999e+18,/g/11gf1ygkng
"Yangon Industrial Gas Co.,Ltd.",Yangon Industrial Gas,+95 9 44455 0424,http://www.yangongas.com/,"Myaytine Quarter, Yangon",Myaytine Quarter,Yangon,,16.8864180,96.2406470,Asia/Rangoon,"{""Monday"": [""8AM-4PM""], ""Tuesday"": [""8AM-4PM""], ""Wednesday"": [""8AM-4PM""], ""Thursday"": [""8AM-4PM""], ""Friday"": [""8AM-4PM""], ""Saturday"": [""8AM-4PM""], ""Sunday"": [""Closed""]}","Monday,8AM,4PM|Tuesday,8AM,4PM|Wednesday,8AM,4PM|Thursday,8AM,4PM|Friday,8AM,4PM|Saturday,8AM,4PM",False,None,"Yangon Industrial Gas Co.,Ltd.",,-9.2233720368547758e+18,/g/11gm9qrb5p
"DENKO, Lewe_01 _ _ NPW",Denko Lewe_01 _ _ Npw,+95 9 940 549244,http://www.denkomyanmar.com/,"J4XF+HQP Yangon-Mandalay, Main Road, Naypyidaw","J4XF+HQP Yangon-Mandalay, Main Road",Naypyidaw,,19.6489510,96.1244490,Asia/Rangoon,"{""Monday"": [""4AM-9PM""], ""Tuesday"": [""4AM-9PM""], ""Wednesday"": [""4AM-9PM""], ""Thursday"": [""4AM-9PM""], ""Friday"": [""4AM-9PM""], ""Saturday"": [""4AM-9PM""], ""Sunday"": [""4AM-9PM""]}","Sunday,4AM,9PM|Monday,4AM,9PM|Tuesday,4AM,9PM|Wednesday,4AM,9PM|Thursday,4AM,9PM|Friday,4AM,9PM|Saturday,4AM,9PM",True,-9.2233720368547758e+18,"DENKO, Lewe_01 _ _ NPW",https://www.google.com/maps/contrib/100118175267808994139,-9.2233720368547758e+18,/g/11hdjfshvr
Max Energy (Naypyitaw-2),Max Energy Naypyitaw 2,+95 9 891 755042,http://www.maxenergy.com.mm/,"Q65M+CGW, Yangon-Mandalay Highway Road, Bawgathiri Highway Campus, Bawgathiri Township, Naypyitaw","Q65M+CGW, Yangon-Mandalay Highway Road, Bawgathiri Highway Campus, Bawgathiri Township",Naypyitaw,,19.758621999999999,96.23381600000000,Asia/Rangoon,"{""Monday"": [""6AM-8PM""], ""Tuesday"": [""6AM-8PM""], ""Wednesday"": [""6AM-8PM""], ""Thursday"": [""6AM-8PM""], ""Friday"": [""6AM-8PM""], ""Saturday"": [""6AM-8PM""], ""Sunday"": [""6AM-8PM""]}","Sunday,6AM,8PM|Monday,6AM,8PM|Tuesday,6AM,8PM|Wednesday,6AM,8PM|Thursday,6AM,8PM|Friday,6AM,8PM|Saturday,6AM,8PM",False,None,Max Energy,,-9.2233720368547758e+18,/g/11g01_svyk
New Day (Mingalar Taung Nyunt),New Day Mingalar Taung Nyunt,+95 1 290 310,,"No. 240, Upper Pazundaung Road, Ward, Tsp","No. 240, Upper Pazundaung Road, Ward",Tsp,,16.7891810,96.1800600,Asia/Rangoon,"{""Monday"": [""6AM-12AM""], ""Tuesday"": [""6AM-12AM""], ""Wednesday"": [""6AM-12AM""], ""Thursday"": [""6AM-12AM""], ""Friday"": [""6AM-12AM""], ""Saturday"": [""6AM-12AM""], ""Sunday"": [""6AM-12AM""]}","Sunday,6AM,12AM|Monday,6AM,12AM|Tuesday,6AM,12AM|Wednesday,6AM,12AM|Thursday,6AM,12AM|Friday,6AM,12AM|Saturday,6AM,12AM",True,-9.2233720368547758e+18,New Day,https://www.google.com/maps/contrib/106406304354725543135,-9.2233720368547758e+18,/g/11cp783f64
Htet Ekari Petrol Station,Htet Ekari Petrol Station,+95 9 761 498990,http://www.ayenyeinthar.com/,"No.(72/B Number 4 Main Road, Yangon",No.(72/B Number 4 Main Road,Yangon,,17.0110170,96.0833220,Asia/Rangoon,"{""Monday"": [""Open 24 hours""], ""Tuesday"": [""Open 24 hours""], ""Wednesday"": [""Open 24 hours""], ""Thursday"": [""Open 24 hours""], ""Friday"": [""Open 24 hours""], ""Saturday"": [""Open 24 hours""], ""Sunday"": [""Open 24 hours""]}",,False,None,Htet Ekari Petrol Station,,2.5048576462363858e+18,/g/11tjyscnq3
Htet Ekari Petrol Station,Htet Ekari Petrol Station,+95 9 762 100989,https://www.facebook.com/HtetEkariCompanyLimited,"22/6 mi, Number 2 Main Rd, Yangon","22/6 mi, Number 2 Main Rd",Yangon,,17.0343570,96.3026840,Asia/Rangoon,"{""Monday"": [""Open 24 hours""], ""Tuesday"": [""Open 24 hours""], ""Wednesday"": [""Open 24 hours""], ""Thursday"": [""Open 24 hours""], ""Friday"": [""Open 24 hours""], ""Saturday"": [""Open 24 hours""], ""Sunday"": [""Open 24 hours""]}",,False,None,Htet Ekari Petrol Station,,2.367239472839041e+18,/g/11g0h11lx9
Tharaphu,Tharaphu,+95 9 45719 5400,https://www.facebook.com/TharaphuMyanmar/,"W3MX+F28, Yangon",W3MX+F28,Yangon,,16.9336580,96.097579,Asia/Rangoon,"{""Monday"": [""Open 24 hours""], ""Tuesday"": [""Open 24 hours""], ""Wednesday"": [""Open 24 hours""], ""Thursday"": [""Open 24 hours""], ""Friday"": [""Open 24 hours""], ""Saturday"": [""Open 24 hours""], ""Sunday"": [""Open 24 hours""]}",,False,None,Tharaphu,,-9.2233720368547758e+18,/g/11f9zvcpl7
"DENKO, MaUbin_01 _ _ AYY",Denko Maubin_01 _ _ Ayy,+95 9 940 549294,,"Yangon, Maubin Road, Maubin","Yangon, Maubin Road",Maubin,,16.7386000,95.64482300000000,Asia/Rangoon,"{""Monday"": [""4AM-9PM""], ""Tuesday"": [""4AM-9PM""], ""Wednesday"": [""4AM-9PM""], ""Thursday"": [""4AM-9PM""], ""Friday"": [""4AM-9PM""], ""Saturday"": [""4AM-9PM""], ""Sunday"": [""4AM-9PM""]}","Sunday,4AM,9PM|Monday,4AM,9PM|Tuesday,4AM,9PM|Wednesday,4AM,9PM|Thursday,4AM,9PM|Friday,4AM,9PM|Saturday,4AM,9PM",True,-9.2233720368547758e+18,"DENKO, MaUbin_01 _ _ AYY",https://www.google.com/maps/contrib/110434477167905673077,6.3451902242838292e+18,/g/11h_wwp055
WIN FAMILY,Win Family,+95 9 788 831074,,"JW4W+3FF, Myaungmya Rd, Myaungmya","JW4W+3FF, Myaungmya Rd",Myaungmya,,16.6051940,94.9461660,Asia/Rangoon,"{""Monday"": [""Open 24 hours""], ""Tuesday"": [""Open 24 hours""], ""Wednesday"": [""Open 24 hours""], ""Thursday"": [""Open 24 hours""], ""Friday"": [""Open 24 hours""], ""Saturday"": [""Open 24 hours""], ""Sunday"": [""Open 24 hours""]}",,False,None,WIN FAMILY,,1.7262642003070589e+18,/g/11f53qtcms
UPT & SON,Upt And Son,+95 9 979 666090,,"HWPH+V2H, Myaungmya",HWPH+V2H,Myaungmya,,16.5871770,94.9275980,Asia/Rangoon,"{""Monday"": [""Open 24 hours""], ""Tuesday"": [""Open 24 hours""], ""Wednesday"": [""Open 24 hours""], ""Thursday"": [""Open 24 hours""], ""Friday"": [""Open 24 hours""], ""Saturday"": [""Open 24 hours""], ""Sunday"": [""Open 24 hours""]}",,False,None,UPT & SON,,-9.2233720368547758e+18,/g/11f540mn93
မင်းသူအောင်,မင်းသူအောင်,+95 9 255 164 439,,"V6GP+MP6 Tsp, Mandalay -Lashio Road, Patheingyi, Ohn Chaw","V6GP+MP6 Tsp, Mandalay -Lashio Road, Patheingyi",Ohn Chaw,,21.876651,96.236781,Asia/Rangoon,"{""Monday"": [""Open 24 hours""], ""Tuesday"": [""Open 24 hours""], ""Wednesday"": [""Open 24 hours""], ""Thursday"": [""Open 24 hours""], ""Friday"": [""Open 24 hours""], ""Saturday"": [""Open 24 hours""], ""Sunday"": [""Open 24 hours""]}",,False,None,မင်းသူအောင်,,3.5935079190770022e+18,/g/11df3f4m0w
MMTM Petrol Station,Mmtm Petrol Station,+95 9 42246 2222,,"53QP+HQQ, Yegyi",53QP+HQQ,Yegyi,,17.1889740,95.0869900,Asia/Rangoon,"{""Monday"": [""Open 24 hours""], ""Tuesday"": [""Open 24 hours""], ""Wednesday"": [""Open 24 hours""], ""Thursday"": [""Open 24 hours""], ""Friday"": [""Open 24 hours""], ""Saturday"": [""Open 24 hours""], ""Sunday"": [""Open 24 hours""]}",,False,None,MMTM Petrol Station,,-9.2233720368547758e+18,/g/11wj3k73nn
MMTM PETROL STATION,Mmtm Petrol Station,+95 9 42246 2222,,,,MM,,17.0841190,95.08587199999999,Asia/Rangoon,"{""Monday"": [""Open 24 hours""], ""Tuesday"": [""Open 24 hours""], ""Wednesday"": [""Open 24 hours""], ""Thursday"": [""Open 24 hours""], ""Friday"": [""Open 24 hours""], ""Saturday"": [""Open 24 hours""], ""Sunday"": [""Open 24 hours""]}",,False,None,MMTM PETROL STATION,,1.1511758726511352e+18,/g/11wmq736j8
Terminal 202,Terminal 202,+95 9 977 838202,,"X532+439, Twp, Yangon","X532+439, Twp",Yangon,,16.952789,96.1502400,Asia/Rangoon,"{""Monday"": [""Open 24 hours""], ""Tuesday"": [""Open 24 hours""], ""Wednesday"": [""Open 24 hours""], ""Thursday"": [""Open 24 hours""], ""Friday"": [""Open 24 hours""], ""Saturday"": [""Open 24 hours""], ""Sunday"": [""Open 24 hours""]}",,False,None,Terminal 202,,4.7384314440410225e+18,/g/11c1njb6kr
