name,brand,lat,lng,address_text,township,city,country_code
Max Energy (Dagon Seikkan),Max Energy,16.768841,96.156675,ဒဂုံမြို့သစ် (ဆိပ်ကမ်း) မြို့နယ်။,Dagon Seikkan,Yangon,MM
Max Energy (Thilawa SEZ),Max Energy,16.765967,96.251544,သီလဝါအထူးစီးပွားရေးဇုန်၊ သန်လျင်မြို့နယ်။,Thanlyin,Yangon,MM
Max Energy (Nay Pyi Taw),Max Energy,19.763306,96.078510,ဘောဂသီရိမြို့နယ်၊ နေပြည်တော်။,Ottarathiri,Naypyidaw,MM
Max Energy (Taungsin Aye),Max Energy,19.635032,96.111203,လယ်ဝေးမြို့နယ်၊ နေပြည်တော်။,Lewe,Naypyidaw,MM
Max Energy (Nay Pyi Taw 3),Max Energy,19.763306,96.078510,ဇေယျာသီရိမြို့နယ်၊ နေပြည်တော်။,Zeyarthiri,Naypyidaw,MM
Max Energy (Nay Pyi Taw 4),Max Energy,19.763306,96.078510,ဇေယျာသီရိမြို့နယ်၊ နေပြည်တော်။,Zeyarthiri,Naypyidaw,MM
Max Energy (Mandalay-1),Max Energy,21.943243,96.077062,၈၄ လမ်း x ၃၂ လမ်းထောင့်၊ ချမ်းအေးသာဇံမြို့နယ်၊ မန္တလေး။,Chan Aye Thar Zan,Mandalay,MM
Max Energy (Mandalay-2),Max Energy,21.910037,96.051159,နတ်ရေကန်ရပ်ကွက်၊ (၆၈)လမ်း၊ အမရပူရမြို့နယ်။,Amarapura,Mandalay,MM
Max Energy (Mandalay-4),Max Energy,21.989517,96.157337,ပြည်ကြီးတံခွန်မြို့နယ်။,Patheingyi,Mandalay,MM
Max Energy (Mandalay-5),Max Energy,21.958828,96.089103,မဟာအောင်မြေမြို့နယ်၊ မန္တလေး။,Maha Aungmye,Mandalay,MM
Max Energy (Mandalay-6),Max Energy,21.929654,96.110664,ချမ်းမြသာစည်မြို့နယ်၊ မန္တလေး။,Chanmyathazi,Mandalay,MM
Max Energy (Meiktila-1),Max Energy,20.883708,95.859920,မိတ္ထီလာမြို့နယ်။,Meiktila,Meiktila,MM
Max Energy (Meiktila-2),Max Energy,20.883708,95.859920,မိတ္ထီလာ – မြင်းခြံကားလမ်း။,Meiktila,Meiktila,MM
Max Energy (Meiktila-3),Max Energy,20.883708,95.859920,မိတ္ထီလာမြို့။,Meiktila,Meiktila,MM
Max Energy (Meiktila-4),Max Energy,20.883708,95.859920,မိတ္ထီလာမြို့နယ်။,Meiktila,Meiktila,MM
Max Energy (Sintgaing),Max Energy,21.731930,96.107389,စဉ့်ကိုင်မြို့နယ်၊ ကျောက်ဆည်ခရိုင်။,Sintgaing,Mandalay,MM
Max Energy (Kyaukse),Max Energy,21.608155,96.135462,ကျောက်ဆည်မြို့နယ်။,Kyaukse,Kyaukse,MM
Max Energy (Kyaukpadaung),Max Energy,21.193954,94.907149,ကျောက်ပန်းတောင်းမြို့နယ်။,Nyaung-U,Mandalay,MM
Max Energy (Mahlaing),Max Energy,21.099413,95.645889,မလှိုင်မြို့နယ်၊ မိတ္ထီလာခရိုင်။,Mahlaing,Meiktila,MM
Max Energy (Nyaung-U),Max Energy,21.193954,94.907149,ညောင်ဦးမြို့နယ်။,Nyaung-U,Nyaung-U,MM
Max Energy (Ongyaw),Max Energy,21.958828,96.089103,ပုသိမ်ကြီးမြို့နယ်၊ မန္တလေး။,Patheingyi,Mandalay,MM
Max Energy (Thaton),Max Energy,16.928152,97.369190,သထုံမြို့။,Thaton,Mawlamyine,MM
Max Energy (Moke Ta Ma),Max Energy,16.454317,97.643961,ပေါင်မြို့။,Mawlamyine,Mawlamyine,MM
Max Energy (Mawlamyine),Max Energy,16.454317,97.643961,မော်လမြိုင်မြို့နယ်။,Mawlamyine,Mawlamyine,MM
Max Energy (Bago),Max Energy,17.324434,96.469628,ပဲခူးမြို့။,Bago,Bago,MM
Max Energy (Inntakaw),Max Energy,17.324434,96.469628,ရန်ကုန်-မန္တလေးကားလမ်းဘေး၊ ပဲခူးမြို့။,Bago,Bago,MM
Max Energy (Thet Ka La),Max Energy,17.324434,96.469628,ကဝမြို့နယ်၊ ပဲခူးမြို့။,Kawa,Bago,MM
Max Energy (Thanatpin),Max Energy,17.292506,96.577111,သနပ်ပင်မြို့နယ်။,Thanatpin,Bago,MM
Max Energy (Oktwin),Max Energy,18.831251,96.410398,အုတ်တွင်းမြို့နယ်၊ ပဲခူးတိုင်း။,Oktwin,Taungoo,MM
Max Energy (Tharyawaddy),Max Energy,17.652220,95.783627,သာယာဝတီမြို့နယ်။,Tharrawaddy,Tharrawaddy,MM
Max Energy (Pyuntaza),Max Energy,17.324434,96.469628,ညောင်လေးပင်မြို့နယ်၊ ပဲခူးတိုင်း။,Bago,Bago,MM
Max Energy (Phayarkalay),Max Energy,17.324434,96.469628,ပဲခူးမြို့နယ်။,Bago,Bago,MM
Max Energy (108 Mile),Max Energy,18.922995,96.442905,ဖြူးမြို့နယ်၊ တောင်ငူ။,Taungoo,Taungoo,MM
Max Energy (Taungoo),Max Energy,18.943030,96.442956,အုတ်တွင်းမြို့နယ်၊ တောင်ငူခရိုင်။,Taungoo,Taungoo,MM
Max Energy (Pathein-1),Max Energy,16.784306,94.733315,ပုသိမ်မြို့။,Pathein,Pathein,MM
Max Energy (Pathein-2),Max Energy,16.784306,94.733315,ပုသိမ်မြို့။,Pathein,Pathein,MM
Max Energy (Pathein 3),Max Energy,16.784306,94.733315,ပုသိမ်မြို့နယ်။,Pathein,Pathein,MM
Max Energy (Hinthada),Max Energy,17.646995,95.451572,ဟင်္သာတမြို့။,Hinthada,Hinthada,MM
Max Energy (Pantanaw),Max Energy,16.984680,95.465643,ပန်းတနော်မြို့။,Pantanaw,Pathein,MM
Max Energy (Yegyi),Max Energy,16.784306,94.733315,ရေကြည်မြို့နယ်။,Pathein,Pathein,MM
Max Energy (Kyonpyaw),Max Energy,17.302258,95.197911,ကျုံပျော်မြို့နယ်။,Kyonpyaw,Pathein,MM
Max Energy (Ngathaingchaung),Max Energy,16.784306,94.733315,ငါးသိုင်းချောင်းမြို့နယ်ခွဲ။,Pathein,Pathein,MM
Max Energy (Chaungtha),Max Energy,16.784306,94.733315,ချောင်းသာကျေးရွာ၊ ပုသိမ်မြို့နယ်။,Pathein,Pathein,MM
Max Energy (Nyaung Don),Max Energy,16.784306,94.733315,ညောင်တုန်းမြို့။,Nyaungdon,Pathein,MM
Max Energy (Ingapu),Max Energy,17.814204,95.271056,အင်္ဂပူမြို့နယ်။,Ingapu,Hinthada,MM
Max Energy (Myinmu),Max Energy,21.921928,95.577242,မြင်းမူမြို့နယ်၊ စစ်ကိုင်းတိုင်းဒေသကြီး။,Myinmu,Myinmu,MM
Max Energy (Magway),Max Energy,20.153752,94.949110,မကွေးမြို့နယ်။,Magway,Magway,MM
Max Energy (Magway-2),Max Energy,20.153752,94.949110,မကွေးမြို့နယ်။,Magway,Magway,MM
Max Energy (Magway-3),Max Energy,20.153752,94.949110,မြို့သစ်မြို့နယ်၊ မကွေးတိုင်းဒေသကြီး။,Magway,Magway,MM
Max Energy (Taunggyi),Max Energy,20.790341,97.036247,တောင်ကြီးမြို့။,Taunggyi,Taunggyi,MM
Max Energy (Heho),Max Energy,20.723126,96.821580,ဟဲဟိုးမြို့၊ ရှမ်းပြည်နယ်။,Heho,Taunggyi,MM
Shwe Taung Tan (Shwe Gu Station 2),Shwe Taung Tan,24.213274,96.776169,ငါးဘတ်ကြီးလမ်းဆုံ၊ ရွှေကူမြို့၊ ကချင်ပြည်နယ်,Shwegu,Shwegu,MM
Shwe Taung Tan (Shwe Gu Station 3),Shwe Taung Tan,24.213274,96.776169,အမှတ်(၂)ရပ်ကွက်၊ သင်္ဘောဆိပ်၊ ရွှေကူမြို့,Shwegu,Shwegu,MM
Shwe Taung Tan (Bhamo Station 4),Shwe Taung Tan,24.262957,97.238318,ဟန်းတဲရပ်ကွက်၊ ကန်တော်စျေးအနီး၊ ဗန်းမော်မြို့,Bhamo,Bhamo,MM
Shwe Taung Tan (Bhamo Station 5),Shwe Taung Tan,24.262957,97.238318,မင်းကုန်းရပ်ကွက်၊ သိမ်တော်ကြီးဘုရားအနီး၊ ဗန်းမော်မြို့,Bhamo,Bhamo,MM
Shwe Taung Tan (Bhamo Station 6),Shwe Taung Tan,24.262957,97.238318,ရွှေပြည်သာကျေးရွာ၊ သုံးမိုင်မြို့ရှောင်လမ်းအနီး၊ ဗန်းမော်မြို့,Bhamo,Bhamo,MM
SPC (Sanchaung),SPC,16.801306,96.137913,"Pyay Road & Dhammazedi Road, Sanchaung Township",Sanchaung,Yangon,MM
Htoo Petroleum (Ahlon),Htoo Petroleum,16.769142,96.165100,"Near Htawligwayt, Strand Road, Ahlon Township",Ahlon,Yangon,MM
Htoo Petroleum (Hlaing),Htoo Petroleum,16.840182,96.133977,"No. 5 Pyay Road, Hlaing Township",Hlaing,Yangon,MM
Htoo Petroleum (Sittwe),Htoo Petroleum,20.142836,92.901573,"Kan Ner (Strand) Street, Sittwe",Sittwe,Sittwe,MM
PTT (Myawaddy),PTT,16.684269,98.500672,"Bayint Naung Road, Myawaddy",Myawaddy,Myawaddy,MM
"DENKO, Thaketa_02_ _ YGN",Denko,16.799310,96.222159,"No.(1-A-20) no 10 South Ward, Conner of thanlyin chin ket street and yadanar street, Thaketa Township, Botahtaung region, Yangon Division.",Thaketa,Yangon,MM
"DENKO, Hlaingtharyar_04_ _ YGN",Denko,16.844350,96.077675,"No.(1-B) Ward no 15, Tapinshwehtee Street, East part of Hlaing Thar Yar Township, Insein region, Yangon Division.",Hlaing Thar Yar,Yangon,MM
"DENKO, Hmantan_01_Amarapura _ MDY",Denko,21.981783,96.097564,"No.(10-13) Sagaing - Mandalay Road, Hmatan Ward, Amarapura Township, Mandalay Division.",Amarapura,Mandalay,MM
"DENKO,Thaketa_01_ _YGN",Denko,16.783837,96.204094,"No.235/B, ShuKhinThar Mayopat Road, (10) Ward, ThaKeTa Township, Yangon Division.",Thaketa,Yangon,MM
"DENKO, Dedaye_ 01_ _AYY",Denko,16.285033,95.679982,"No.61/4, Near pyapon bridge, Pyapon-dedaye Road, Ohnpin Village, Dedaye Township, Ayayarwady Division.",Dedaye,Ayeyarwady,MM
"DENKO, Taungoo_02_ _ BGO",Denko,19.020264,96.586347,"No.(75/1-2,N/4) Taungoo-Thantaung Road, Moekaung Villages Groups, Taungoo Township, Bago Division.",Taungoo,Bago,MM
"DENKO, Mawlamyine_02_ _MON",Denko,16.395526,97.657138,"No.(51/b-e), Mawlamyine-Thanpyuzayat Road, Zaykyo Ward, Mawlamyine Township, Mon State.",Mawlamyine,Mon,MM
"DENKO, Hmawbi_01_ _ YGN",Denko,17.104088,96.050087,"No.2,3,4/1, No.4 Main Road, Lakepoke villages groups, Zeepinpauk village, Hmawbi Township, Yangon Division.",Hmawbi,Yangon,MM
"DENKO, Botahtaung _ 01 _ MahaBandulaBridge _ YGN",Denko,16.771121,96.177972,"No.(321/E), corner of Sandaku Road & maharbandula Road, near maharbandoola bridge, botahtaung township, Yangon Division.",Botahtaung,Yangon,MM
"DENKO, Kaunghmudaw_01 _ _ SGG",Denko,21.930760,96.069108,"No.(12,10/3), Mandalay - Shwebo Road, Tinntoan village groups, Sagaing Township, Sagaing Division.",Sagaing,Sagaing,MM
"DENKO, 19St_01 _ _ MDY",Denko,21.923523,96.104934,"No. 114/115, Mandalay 19 st, NanOoLwin Village Group, Patheingyi Township, Mandalay Division.",Patheingyi,Mandalay,MM
"DENKO, Kyaiklat_01 _ _ AYY",Denko,16.450512,95.713803,"No.14-16, Yangon-Pyapon Road, Laesait Village, Kyaiklat Tsp, Pyapon, Ayayarwady Division.",Kyaiklat,Ayeyarwady,MM
"DENKO, NyaungDon_01 _ _ AYY",Denko,17.033362,95.556648,"No.N,Bo Myat Tun Bridge, Yangon-Pathein Road, Sinhtun village, Nyaungdon Tsp,Ayarwady Division.",Nyaungdon,Ayeyarwady,MM
"DENKO, Kyaunggon_01 _ KanKaLay _ AYY",Denko,17.078351,95.142640,"No.(27/28-3), Yangon-Pathein Road, Kankalay Village, Kyaunggon Tsp,Pathein Tsp, Ayayarwady Division.",Kyaunggon,Ayeyarwady,MM
"DENKO, HtoneBo_02 _ _ MDY",Denko,21.899289,96.041362,"No.(44,15/A), Hton Bo-Myint Nge Road, Natyakan Village, Amarapura Tsp, Mandalay Division",Amarapura,Mandalay,MM
"DENKO, WaingMaw_01 _ _ KCN",Denko,25.347297,97.434865,"No.264/4,Waimaw-Mandalay Road, Naunglaw Village, Waimaw Tsp, Myintgyina ,Kachin state.",Waingmaw,Kachin,MM
"DENKO, Meikhtila_03 _ TheeKone _ MDY",Denko,20.844344,95.127572,"No.62, Meiktila-Kyaukpadaung Road, TheeKon Village, Meiktila Township, Mandalay Division.",Meiktila,Mandalay,MM
"DENKO, ShweBo_02 _ _ SGG",Denko,22.538435,95.687967,"No.(31/5). Shwebo-Mandalay Road, Taganan Village, ShweBo Tsp, Sagaing Division.",Shwebo,Sagaing,MM
"DENKO, NayPyiTaw_03 _ KyiDaungGan _ NPW",Denko,19.889435,96.198073,"No.(44/3) Thanlwin St,(Naypyitaw train station st),near No-2 Ponbathiri Hosiptal, Kyihtaungkan Village, Ponbathiri Tsp,NayPyiTaw.",Pobbathiri,Naypyitaw,MM
"DENKO, 12St_01 _ _ MDY",Denko,22.003622,96.090266,"No.1/D,Mdy 12 St,(Bt 86th x 87th),Pyigyiyanlon Ward, Aungmyaythazan Township,Mandalay Division.",Aungmyethazan,Mandalay,MM
"DENKO, Myingyan_02 _ Ywarsi _ MDY",Denko,21.438430,95.385309,"No.8, NyaungU-Myingyan Road, YwarSi Village Group, Myingyan Township,Mandalay Division.",Myingyan,Mandalay,MM
"DENKO, Pathein_02 _ _ AYY",Denko,16.746617,94.659491,"No.33/B,Kannar Street,No 1 Ward,Pathein Township.Ayayarwady Division.",Pathein,Ayeyarwady,MM
"DENKO, Alar_01 _ _ NPW",Denko,19.634901,96.107643,"No.87,136/2, Pyinmana MyoShaung Road, (NayPyiTaw-Yangon) East Alar,YonePin Village,Leway,NayPyiTaw.",Lewe,Naypyitaw,MM
"DENKO, NayPyiTaw_02 _ Sinma Mall _ NPW",Denko,19.818752,96.148715,"No.(OC 1-6),Thiriyadanar Street, Yadanatheithti Ward, Ottayathiri Tsp, NayPyiTaw.",Ottayathiri,Naypyitaw,MM
"DENKO, Gwa_01 _ _ RKE",Denko,17.601070,94.585659,"No.229, Alaewyar Village, Myoma Ward, Gwa Tsp, Rakhaine State.",Gwa,RaKhine,MM
"DENKO, Khampat_01 _ _ SGG",Denko,23.776317,94.147776,"No.(N-66) Kalay-Tamu Road (India-Myanmar Friendship Road) KyonTawyashin Village, Khampat Tsp, Tamu,Sagaing Division.",Khampat,Sagaing,MM
"DENKO, ShweTaung_01 _ _ BGO",Denko,18.701642,95.213735,"No.(43/2) Yangon-Pyay Road, LayKyonSemi Village, Nwamayan Village group, Shwedaung Tsp, Bago Division.",Shwedaung,Bago,MM
"DENKO, Thandwe_01 _ _ RKE",Denko,18.443767,94.338548,"No.(A-29) Thandwe - Ngapali Road, No(7)Ward, Thandwe Tsp, Rakhine State.",Thandwe,RaKhine,MM
"DENKO, Gyobingauk_01 _ _ BGO",Denko,18.230180,95.647974,"No.(4982-83),Yangon-Pyay Road, Latpanpin Village, Gyobingauk Tsp, Bago Division.",Gyobingauk,Bago,MM
"DENKO, Danuphyu_02 _ _ AYY",Denko,17.258011,95.593493,"No(29),18 Ward, Danubyu-Kjoun Pyaw Road, Agricultural park, Danabyu Tsp, Ayeyarwady Division.",Danuphyu,Ayeyarwady,MM
"DENKO, Indaw_01 _ _ SGG",Denko,24.220844,96.143420,"No.600, LelPyin Village, Indaw Township, Sagaing Division.",Indaw,Sagaing,MM
"DENKO, Letpandan_01 _ _ BGO",Denko,17.041661,96.132367,"No.(44/2), Yangon-Pyay Road, Kyonchan Village, Letpandan Tsp,Tharyarwady, Bago Division.",Letpadan,Bago,MM
"DENKO, NanOoLwin_01 _ 26St _ MDY",Denko,21.982243,96.100859,"No.46/47, Conner of Myopat st and 26 St,(Mandalay-Pyin Oo Lwin Road) Nan Oo Lwin Village, Patheingyi Tsp, Mandalay.",Patheingyi,Mandalay,MM
"DENKO, Taunggoke_01 _ _ RKE",Denko,18.862556,94.243640,"No.(67/A), Padaung-Toungup Road, KyoKyarQuen Village, Toungup Tsp, Thantwe, RaKhine State.",Toungup,RaKhine,MM
"DENKO, Pathein_01 _ _ AYY",Denko,16.818166,94.731633,"No. (27/57) Pathein-Ngwesaung Road, Kan Ne Ward, Pathein Tsp, Ayeyarwady Division.",Pathein,Ayeyarwady,MM
"DENKO, Taunglaylone_01 _ _ SHN",Denko,20.787245,97.035907,"No.(17/11) Taunggyi - Meiktila Hwy Road, Taunglaylone Village, Taunggyi Tsp, Shan State.",Taunggyi,Shan,MM
"DENKO, MaUbin_01 _ _ AYY",Denko,16.727355,95.653812,"No. (16-Sa/17-Ga),Yangon-Maubin Road, No.2 Ward, Maubin Tsp, Ayeyarwady Division.",Maubin,Ayeyarwady,MM
"DENKO, Kalay_01 _ _ SGG",Denko,23.226125,94.142063,"No.11, Kale-Kalewa Road, Chanmyayaungsi ward, Kalay Tsp, Sagaing Division.",Kalay,Sagaing,MM
"DENKO, NayPyiTaw_01 _ MyomaZay _ NPW",Denko,19.737377,96.194517,"No.(C-5) Pyinmana-Taungnyo Road, Pyin nya theiddhi ward,Near Myo Ma Market, Zabyuthiri Tsp, Nay Pyi Taw.",Zabuthiri,Naypyitaw,MM
"DENKO, Meikhtila_02 _ KanTaung _ MDY",Denko,19.827722,96.262300,"No.(196/197),Conner of Meiktila-Yangon Myo Shoung Road and Yangon-Mandalay Hwy, Kandaung Village,Meiktila Tsp,Mandalay Division.",Meiktila,Mandalay,MM
"DENKO, Monywa_04 _ _ SGG",Denko,22.579999,94.521846,"No.(C-3),Pathein-Monywa-Kalaywa Hwy,Kanchaung Village, Aungzayya Myothit, Yinmarpin Tsp,Sagaing Division.",Monywa,Sagaing,MM
"DENKO, Tamu_01 _ _ SGG",Denko,24.208726,94.302625,"India Myanmar Friendship Rd, Tamu",Tamu,Sagaing,MM
"DENKO, Thamanya_01 _ _ KYN",Denko,16.872259,97.641449,"No.N-24, Hpa-An-Myawady Road, Kawkada Village,Hpa-An Township, Kayin State.",Hpa-An,Kayin,MM
"DENKO, Hpa-An_02 _ _ KYN",Denko,16.872259,97.641449,"No.131/2,Hpa-An HtoneAn Road,No.8 Ward, Hpa-An Township, Kayin State.",Hpa-An,Kayin,MM
"DENKO, Hpa-An_01 _ _ KYN",Denko,16.863443,97.668265,"No.9 Ward,Myawaddy-Hpa-An Road,near Hlaingbyae,Yaykyaw Village,Hpa-An Township,Kayin State.",Hpa-An,Kayin,MM
"DENKO, Banmaw_02 _ _ KCN",Denko,24.257144,97.224812,"No.2,Bhamo-Mandalay Hwy Road, FanKhakone Ward,HanTae Village,Bhamo Township,Kachin State.",Bhamo,Kachin,MM
"DENKO, Kyaikto_01 _ _ MON",Denko,17.308124,97.012324,"No.0156, Taungthusu Ward, Thahton, Kyaikhto Township,Mon State.",Kyaikto,Mon,MM
"DENKO, BanMaw_01 _ _ KCN",Denko,24.262957,97.238318,"No.0675, Bhamo-Myintkyinar Road,2 miles,Bhamo Township,Kachin State.",Bhamo,Kachin,MM
"DENKO, Loikaw_01 _ _ KYH",Denko,19.667912,97.214171,"No.N-83/B, Loikaw – Sesain Road, Nwalawo Village, Loikaw Township,Kayar State.",Loikaw,Kayah,MM
"DENKO, Bilin_01 _ _ MON",Denko,17.209370,97.223426,"Yangon-Mawlamyaing Hwy Road, Phohlagyi Ward, Bilin Township, Mon State.",Bilin,Mon,MM
"DENKO, Taunggyi_01 _ Kangyi _ SHN",Denko,20.386955,97.076399,"No.11/183, Taunggyi-Kyauktalone Road,Ball lon kyon, Kangyi Ward, Taunggyi Township,Shan State.",Taunggyi,Shan,MM
"DENKO, Theinzeik_01 _ _ MON",Denko,16.916767,97.367294,"No.135/136, Theinseik Earth, Thuwana wady Township,Thahton, Mon State.",Thaton,Mon,MM
"DENKO, ShweNyaung_01 _ _ SHN",Denko,20.757855,96.936148,"No.29/1, Myoma 1 Mingalar Shwebo, Shwenyaung-Nyaungshwe Road, Shwe Nyaung Township, Taunggyi,Shan State.",Shwe Nyaung,Shan,MM
"DENKO, Muse_01 _ _ SHN",Denko,23.967758,97.979935,"Mileyu 105 miles, Lashio-Muse Road, Muse Township, Shan State.",Muse,Shan,MM
"DENKO, YatSawk_01 _ LawkSawk _ SHN",Denko,21.245499,96.883356,"YapSawk- Shwe Nyaung Road,No.767,MyoU Ward, YapSawk Township, Shan State.",Lawksawk,Shan,MM
"DENKO, Thaton_01 _ _ MON",Denko,16.937236,97.377469,"No.18, AuKyon Ward, Thaton Township, Mon State.",Thaton,Mon,MM
"DENKO, Namsang_01 _ _ SHN",Denko,20.901177,97.725301,"Taunggyi-Loilin-Namsang Pyidaungsu Road,No.1/B,Methawykone Village,Namsang Township,Shan State.",Namsang,Shan,MM
"DENKO, Lashio_01 _ _ SHN",Denko,22.954742,97.762434,"Mandalay-Muse Pyidaungsu Road, 1 Ward, Area 9,NamgChak toeche ward,Lashio Township,Shan State.",Lashio,Shan,MM
"DENKO, Pindaya_01 _ _ SHN",Denko,20.661791,96.647777,"No.768, Aungpan-Yapsawk Road,Ywathit Ward,Pindaya Township,Shan State.",Pindaya,Shan,MM
"DENKO, Paung_01 _ _ MON",Denko,16.523915,97.689112,"No.57/B, Yangon-Mawlamyaing Road,Kadonese Ward,Paung Township,Mon State.",Paung,Mon,MM
"DENKO, Kyaukme_01 _ _ SHN",Denko,22.505935,97.020184,"Mandalay-Lashio Hwy Road, Khomone Village,Kywekone, Kyaukme Township,Shan State.",Kyaukme,Shan,MM
"DENKO, Aungban_01 _ _ SHN",Denko,20.634915,96.566531,"Pyidaungsu Road(Meiktila-Taunggyi) Galakhar Village,Kalaw Township,Taunggyi,Shan State.",Kalaw,Shan,MM
"DENKO, Mottama-_01 _ _ MON",Denko,16.534788,97.603289,"No.0867, Yangon-Htaway Road,Kawsaiywa Motama Village,Paung Township,Mon State.",Paung,Mon,MM
"DENKO, Minhla_01 _ _ MGY",Denko,19.966099,95.032027,"No.6, Corner of Annawyahtar St and Tarpaungyi St, South part of Office Ward,Minhla Township, Magway.",Minhla,Magway,MM
"DENKO, Mawlamyaine_01 _ _ MON",Denko,16.454317,97.643961,"No.0802, Sattekone Ward, Mawlamyaing Township, Mon State.",Mawlamyine,Mon,MM
"DENKO, Magway_02 _ TaungTwin _ MGY",Denko,20.136171,94.987755,"Magway-Taungtwingyi Road, near Magway University,Magyikan Village,Magway Township. Magway.",Magway,Magway,MM
"DENKO, Magway_01 _ Natmauk _ MGY",Denko,20.154411,94.945486,"Magway-Natmaunt Road,near FanKharMyay golf, Nankatkyon Village, Magway Township, Magway.",Magway,Magway,MM
"DENKO, Minbu_01 _ _ MGY",Denko,20.091314,94.535264,"Minbu-Shwesattaw-Ngefe Road, Kanyay Village,Minbu Township,Magway.",Minbu,Magway,MM
"DENKO, Budalin_01 _ _ SGG",Denko,22.101391,95.143211,"No.263/A,Monywa-Budalin-YeU Road, Budalin Township, Sagaing Division.",Budalin,Sagaing,MM
