name,brand,lat,lng,address_text,township,city,country_code
Max Energy (Kawhmu),Max Energy,,,ကော့မှုးမြို့နယ်။,Kawhmu,Yangon,MM
Max Energy (Nwe Khway),Max Energy,,,မင်္ဂလာဒုံမြို့နယ်။,Mingaladon,Yangon,MM
Max Energy (Twantay),Max Energy,,,တွံတေးမြို့နယ်။,Twante,Yangon,MM
Max Energy (North Dagon-2),Max Energy,,,ဒဂုံမြို့သစ်(မြောက်ပိုင်း)မြို့နယ်။,North Dagon,Yangon,MM
Max Energy (Dagon Seikkan),Max Energy,,,ဒဂုံမြို့သစ် (ဆိပ်ကမ်း) မြို့နယ်။,Dagon Seikkan,Yangon,MM
Max Energy (Thilawa SEZ),Max Energy,,,သီလဝါအထူးစီးပွားရေးဇုန်၊ သန်လျင်မြို့နယ်။,Thanlyin,Yangon,MM
Max Energy (Nay Pyi Taw),Max Energy,,,ဘောဂသီရိမြို့နယ်၊ နေပြည်တော်။,Ottarathiri,Naypyidaw,MM
Max Energy (Taungsin Aye),Max Energy,,,လယ်ဝေးမြို့နယ်၊ နေပြည်တော်။,Lewe,Naypyidaw,MM
Max Energy (Nay Pyi Taw 3),Max Energy,,,ဇေယျာသီရိမြို့နယ်၊ နေပြည်တော်။,Zeyarthiri,Naypyidaw,MM
Max Energy (Nay Pyi Taw 4),Max Energy,,,ဇေယျာသီရိမြို့နယ်၊ နေပြည်တော်။,Zeyarthiri,Naypyidaw,MM
Max Energy (Mandalay-1),Max Energy,,,၈၄ လမ်း x ၃၂ လမ်းထောင့်၊ ချမ်းအေးသာဇံမြို့နယ်၊ မန္တလေး။,Chan Aye Thar Zan,Mandalay,MM
Max Energy (Mandalay-2),Max Energy,,,နတ်ရေကန်ရပ်ကွက်၊ (၆၈)လမ်း၊ အမရပူရမြို့နယ်။,Amarapura,Mandalay,MM
Max Energy (Mandalay-4),Max Energy,,,ပြည်ကြီးတံခွန်မြို့နယ်။,Patheingyi,Mandalay,MM
Max Energy (Mandalay-5),Max Energy,,,မဟာအောင်မြေမြို့နယ်၊ မန္တလေး။,Maha Aungmye,Mandalay,MM
Max Energy (Mandalay-6),Max Energy,,,ချမ်းမြသာစည်မြို့နယ်၊ မန္တလေး။,Chanmyathazi,Mandalay,MM
Max Energy (Meiktila-1),Max Energy,,,မိတ္ထီလာမြို့နယ်။,Meiktila,Meiktila,MM
Max Energy (Meiktila-2),Max Energy,,,မိတ္ထီလာ – မြင်းခြံကားလမ်း။,Meiktila,Meiktila,MM
Max Energy (Meiktila-3),Max Energy,,,မိတ္ထီလာမြို့။,Meiktila,Meiktila,MM
Max Energy (Meiktila-4),Max Energy,,,မိတ္ထီလာမြို့နယ်။,Meiktila,Meiktila,MM
Max Energy (Sintgaing),Max Energy,,,စဉ့်ကိုင်မြို့နယ်၊ ကျောက်ဆည်ခရိုင်။,Sintgaing,Mandalay,MM
Max Energy (Kyaukse),Max Energy,,,ကျောက်ဆည်မြို့နယ်။,Kyaukse,Kyaukse,MM
Max Energy (Kyaukpadaung),Max Energy,,,ကျောက်ပန်းတောင်းမြို့နယ်။,Nyaung-U,Mandalay,MM
Max Energy (Mahlaing),Max Energy,,,မလှိုင်မြို့နယ်၊ မိတ္ထီလာခရိုင်။,Mahlaing,Meiktila,MM
Max Energy (Nyaung-U),Max Energy,,,ညောင်ဦးမြို့နယ်။,Nyaung-U,Nyaung-U,MM
Max Energy (Ongyaw),Max Energy,,,ပုသိမ်ကြီးမြို့နယ်၊ မန္တလေး။,Patheingyi,Mandalay,MM
Max Energy (Thaton),Max Energy,,,သထုံမြို့။,Thaton,Mawlamyine,MM
Max Energy (Moke Ta Ma),Max Energy,,,ပေါင်မြို့။,Mawlamyine,Mawlamyine,MM
Max Energy (Mawlamyine),Max Energy,,,မော်လမြိုင်မြို့နယ်။,Mawlamyine,Mawlamyine,MM
Max Energy (Bago),Max Energy,,,ပဲခူးမြို့။,Bago,Bago,MM
Max Energy (Inntakaw),Max Energy,,,ရန်ကုန်-မန္တလေးကားလမ်းဘေး၊ ပဲခူးမြို့။,Bago,Bago,MM
Max Energy (Thet Ka La),Max Energy,,,ကဝမြို့နယ်၊ ပဲခူးမြို့။,Kawa,Bago,MM
Max Energy (Thanatpin),Max Energy,,,သနပ်ပင်မြို့နယ်။,Thanatpin,Bago,MM
Max Energy (Oktwin),Max Energy,,,အုတ်တွင်းမြို့နယ်၊ ပဲခူးတိုင်း။,Oktwin,Taungoo,MM
Max Energy (Tharyawaddy),Max Energy,,,သာယာဝတီမြို့နယ်။,Tharrawaddy,Tharrawaddy,MM
Max Energy (Pyuntaza),Max Energy,,,ညောင်လေးပင်မြို့နယ်၊ ပဲခူးတိုင်း။,Bago,Bago,MM
Max Energy (Phayarkalay),Max Energy,,,ပဲခူးမြို့နယ်။,Bago,Bago,MM
Max Energy (108 Mile),Max Energy,,,ဖြူးမြို့နယ်၊ တောင်ငူ။,Taungoo,Taungoo,MM
Max Energy (Taungoo),Max Energy,,,အုတ်တွင်းမြို့နယ်၊ တောင်ငူခရိုင်။,Taungoo,Taungoo,MM
Max Energy (Pathein-1),Max Energy,,,ပုသိမ်မြို့။,Pathein,Pathein,MM
Max Energy (Pathein-2),Max Energy,,,ပုသိမ်မြို့။,Pathein,Pathein,MM
Max Energy (Pathein 3),Max Energy,,,ပုသိမ်မြို့နယ်။,Pathein,Pathein,MM
Max Energy (Hinthada),Max Energy,,,ဟင်္သာတမြို့။,Hinthada,Hinthada,MM
Max Energy (Pantanaw),Max Energy,,,ပန်းတနော်မြို့။,Pantanaw,Pathein,MM
Max Energy (Yegyi),Max Energy,,,ရေကြည်မြို့နယ်။,Pathein,Pathein,MM
Max Energy (Kyonpyaw),Max Energy,,,ကျုံပျော်မြို့နယ်။,Kyonpyaw,Pathein,MM
Max Energy (Ngathaingchaung),Max Energy,,,ငါးသိုင်းချောင်းမြို့နယ်ခွဲ။,Pathein,Pathein,MM
Max Energy (Chaungtha),Max Energy,,,ချောင်းသာကျေးရွာ၊ ပုသိမ်မြို့နယ်။,Pathein,Pathein,MM
Max Energy (Nyaung Don),Max Energy,,,ညောင်တုန်းမြို့။,Nyaungdon,Pathein,MM
Max Energy (Ingapu),Max Energy,,,အင်္ဂပူမြို့နယ်။,Ingapu,Hinthada,MM
Max Energy (Myinmu),Max Energy,,,မြင်းမူမြို့နယ်၊ စစ်ကိုင်းတိုင်းဒေသကြီး။,Myinmu,Myinmu,MM
Max Energy (Magway),Max Energy,,,မကွေးမြို့နယ်။,Magway,Magway,MM
Max Energy (Magway-2),Max Energy,,,မကွေးမြို့နယ်။,Magway,Magway,MM
Max Energy (Magway-3),Max Energy,,,မြို့သစ်မြို့နယ်၊ မကွေးတိုင်းဒေသကြီး။,Magway,Magway,MM
Max Energy (Taunggyi),Max Energy,,,တောင်ကြီးမြို့။,Taunggyi,Taunggyi,MM
Max Energy (Heho),Max Energy,,,ဟဲဟိုးမြို့၊ ရှမ်းပြည်နယ်။,Heho,Taunggyi,MM
